SKU,Discount,Timestamp
SKU0,0,2024-04-02 17:56:57
SKU1,10,2024-04-02 17:56:58
SKU2,20,2024-04-02 17:56:58
SKU3,20,2024-04-02 17:56:58
SKU4,10,2024-04-02 17:56:58
SKU5,10,2024-04-02 17:56:59
SKU6,10,2024-04-02 17:56:59
SKU7,10,2024-04-02 17:56:59
SKU8,10,2024-04-02 17:57:00
SKU9,0,2024-04-02 17:57:00
SKU10,20,2024-04-02 17:57:00
SKU11,10,2024-04-02 17:57:00
SKU12,20,2024-04-02 17:57:01
SKU13,10,2024-04-02 17:57:01
SKU14,10,2024-04-02 17:57:01
SKU15,10,2024-04-02 17:57:01
SKU16,20,2024-04-02 17:57:01
SKU17,20,2024-04-02 17:57:02
SKU18,10,2024-04-02 17:57:02
SKU19,20,2024-04-02 17:57:02
SKU20,0,2024-04-02 17:57:03
SKU21,10,2024-04-02 17:57:03
SKU22,0,2024-04-02 17:57:03
SKU23,0,2024-04-02 17:57:03
SKU24,10,2024-04-02 17:57:04
SKU25,10,2024-04-02 17:57:04
SKU26,20,2024-04-02 17:57:04
SKU27,20,2024-04-02 17:57:04
SKU28,0,2024-04-02 17:57:05
SKU29,20,2024-04-02 17:57:05
SKU30,0,2024-04-02 17:57:05
SKU31,20,2024-04-02 17:57:05
SKU32,20,2024-04-02 17:57:06
SKU33,10,2024-04-02 17:57:06
SKU34,20,2024-04-02 17:57:06
SKU35,10,2024-04-02 17:57:06
SKU36,20,2024-04-02 17:57:07
SKU37,20,2024-04-02 17:57:07
SKU38,10,2024-04-02 17:57:07
SKU39,20,2024-04-02 17:57:07
SKU40,20,2024-04-02 17:57:08
SKU41,20,2024-04-02 17:57:08
SKU0,0,2024-04-02 18:06:56
SKU1,10,2024-04-02 18:06:57
SKU2,20,2024-04-02 18:06:57
SKU3,20,2024-04-02 18:06:57
SKU4,10,2024-04-02 18:06:57
SKU5,10,2024-04-02 18:06:58
SKU6,10,2024-04-02 18:06:58
SKU7,10,2024-04-02 18:06:58
